Episode,Total Reward,Avg Loss,Deployed Nodes,Coverage
0,-36808.67000000007,0.0,60.0,100.0
1,-31903.929999999997,425433.2883966619,45.0,100.0
2,-36957.20999999999,222899.9353170956,38.0,100.0
3,-55366.04999999999,135717.01399739584,67.0,100.0
4,-36957.920000000006,80068.44815340909,57.0,100.0
5,-54736.04000000002,101784.82234221813,49.0,100.0
6,-47898.90000000001,101741.12925347222,49.0,100.0
7,-48205.59000000019,101454.74578125,89.0,99.5149
8,-48725.74000000005,97649.68328536184,41.0,100.0
9,-26551.68999999999,104512.53515625,26.0,100.0
10,-24149.559999999998,93319.18658854166,34.0,100.0
11,-31430.289999999954,101041.19969512195,45.0,100.0
12,-78830.70999999996,127106.86082589286,67.0,100.0
13,-53244.48000000001,120387.84078501505,81.0,100.0
14,-48101.83,168897.6253125,30.0,100.0
15,-36652.11000000009,167432.5401400862,60.0,100.0
16,-45039.90000000005,193689.0492369186,45.0,100.0
17,-32649.379999999997,194271.7861689815,31.0,100.0
18,-61085.16000000003,255109.1816007653,51.0,100.0
19,-50710.030000000006,344929.8683712121,36.0,100.0
20,-41248.01000000013,605789.91171875,95.0,99.7599
21,-30918.999999999964,1473481.045212766,48.0,100.0
22,-41679.19999999999,1739830.220982143,33.0,100.0
23,-32679.299999999996,2331276.2395833335,29.0,100.0
24,-29479.64,2446476.703125,21.0,100.0
25,-51877.76000000017,4518160.54875,88.0,99.5149
26,-30724.079999999914,11808739.2275,91.0,99.7599
27,-29569.860000000044,26694959.588235293,36.0,100.0
28,-38127.23000000004,32821163.773584906,54.0,100.0
29,-37247.52000000001,63696660.03333333,61.0,100.0
30,-37769.15999999999,167144913.75,92.0,100.0
31,-36079.80000000007,344419186.56,54.0,100.0
32,-45535.620000000024,353413613.71428573,31.0,100.0
33,-51452.97999999998,771308761.6,46.0,100.0
34,-60023.51000000001,1078411004.108108,72.0,100.0
35,-24836.710000000003,1778171655.3846154,29.0,100.0
36,-64785.560000000005,1967655677.2173913,47.0,100.0
37,-27176.430000000004,2909076303.448276,34.0,100.0
38,-36063.9800000001,4302230077.44,92.0,99.7599
39,-55370.040000000015,8183799145.73913,47.0,100.0
40,-27437.579999999987,8375419441.230769,30.0,100.0
41,-65148.250000000015,14224391072.542374,59.0,100.0
42,-49033.700000000004,29247933430.857143,57.0,100.0
43,-48923.95000000017,44160923115.10204,88.0,100.0
44,-50780.049999999996,62456807326.47619,45.0,100.0
45,-34001.460000000036,116803526656.0,32.0,100.0
46,-31013.09999999999,85331698935.17241,33.0,100.0
47,-35229.159999999996,153704949760.0,31.0,100.0
48,-23947.16,127618509730.90909,27.0,100.0
49,-35199.32999999999,237947556162.15732,77.0,100.0
50,-26758.92000000002,341749431734.8571,32.0,100.0
51,-27486.749999999993,334125076971.52,30.0,100.0
52,-53721.570000000014,574420703156.1482,32.0,100.0
53,-35994.97000000002,545458369667.28204,43.0,100.0
54,-23477.67,794331676672.0,34.0,100.0
55,-47336.52000000008,870016419052.3077,51.0,100.0
56,-23763.250000000007,1161267878086.1936,35.0,100.0
57,-27745.469999999998,1595881723717.818,46.0,100.0
58,-52943.680000000044,1858684391037.585,55.0,100.0
59,-42874.09999999999,2448122908672.0,36.0,100.0
60,-24776.889999999996,2792164627377.231,30.0,100.0
61,-41865.230000000025,3419478949888.0,33.0,100.0
62,-43163.69000000007,3881776378619.661,61.0,100.0
63,-55164.93,4582289361330.424,37.0,100.0
64,-30887.740000000038,6091083821875.2,38.0,100.0
65,-41245.27999999999,7288083929586.162,36.0,100.0
